Cell,position_theta,position_z,position_theta_degrees,position_z_mm,amplitude,frequency
Glimpse1,0,0,0,68.65,0.0370776383102144,0.4955231841962289
Glimpse1,1,0,3,68.65,0.0403605548841456,0.4727335976259242
Glimpse1,2,0,6,68.65,0.0411963538714153,0.4605807653237435
Glimpse1,3,0,9,68.65,0.0415782758560087,0.4397449738627117
Glimpse1,4,0,12,68.65,0.0413042145428035,0.4247969755371058
Glimpse1,5,0,15,68.65,0.0401754505360862,0.4218005003637691
Glimpse1,6,0,18,68.65,0.042265391349811,0.4125825572235299
Glimpse1,7,0,21,68.65,0.0415803345935807,0.4060495445214643
Glimpse1,8,0,24,68.65,0.0415368669370283,0.4035370848930277
Glimpse1,9,0,27,68.65,0.0398022204165718,0.3998122583602307
Glimpse1,10,0,30,68.65,0.0381545686846923,0.4125756507777957
Glimpse1,11,0,33,68.65,0.0378380240400003,0.4076955001252568
Glimpse1,12,0,36,68.65,0.0375941492599844,0.4017461043413057
Glimpse1,13,0,39,68.65,0.037758951770184,0.4167414073491563
Glimpse1,14,0,42,68.65,0.0363639295171863,0.4073403305225936
Glimpse1,15,0,45,68.65,0.0356821613526397,0.4284145109659367
Glimpse1,16,0,48,68.65,0.0367186013794556,0.4061615263347125
Glimpse1,17,0,51,68.65,0.037162302621298,0.4107271734796592
Glimpse1,18,0,54,68.65,0.0373477611055332,0.4077377376952837
Glimpse1,19,0,57,68.65,0.0384509686733431,0.3925371772367225
Glimpse1,20,0,60,68.65,0.0386222514934198,0.3994726397072963
Glimpse1,21,0,63,68.65,0.0362450363792616,0.3976832047469817
Glimpse1,22,0,66,68.65,0.0380869388844787,0.3853463456411182
Glimpse1,23,0,69,68.65,0.0384711717285022,0.3907220793273971
Glimpse1,24,0,72,68.65,0.0396455459746132,0.4002511118049814
Glimpse1,25,0,75,68.65,0.0386186528432401,0.4016158967930806
Glimpse1,26,0,78,68.65,0.0378655320131194,0.4018169465469748
Glimpse1,27,0,81,68.65,0.0393895657936094,0.4064616445589843
Glimpse1,28,0,84,68.65,0.0383542243373354,0.3983118369258886
Glimpse1,29,0,87,68.65,0.0399421210421976,0.3723280840366376
Glimpse1,30,0,90,68.65,0.0384652929955347,0.4005324823406894
Glimpse1,31,0,93,68.65,0.0396140581293593,0.4029331285438916
Glimpse1,32,0,96,68.65,0.0403961894517538,0.399751528576397
Glimpse1,33,0,99,68.65,0.0402998431100342,0.3982867676926702
Glimpse1,34,0,102,68.65,0.03949299683004,0.3763067806162027
Glimpse1,35,0,105,68.65,0.0398320217494371,0.3908131193357151
Glimpse1,36,0,108,68.65,0.0399279061151137,0.3883498670996845
Glimpse1,37,0,111,68.65,0.0411038842915638,0.4031016407534531
Glimpse1,38,0,114,68.65,0.0386361386133861,0.4082867023965703
Glimpse1,39,0,117,68.65,0.0387343948396979,0.3921807295226711
Glimpse1,40,0,120,68.65,0.0397731341908549,0.4000729615504371
Glimpse1,41,0,123,68.65,0.0385541282029802,0.3921346571454541
Glimpse1,42,0,126,68.65,0.0394295153523718,0.3851304528328519
Glimpse1,43,0,129,68.65,0.0379827494942118,0.3913624891203475
Glimpse1,44,0,132,68.65,0.0377151345048467,0.3991411781848972
Glimpse1,45,0,135,68.65,0.0373933260514492,0.3959257297249265
Glimpse1,46,0,138,68.65,0.0379005258149769,0.406046390565118
Glimpse1,47,0,141,68.65,0.0380167497569435,0.3865742854337231
Glimpse1,48,0,144,68.65,0.0362602159875166,0.4046448252617842
Glimpse1,49,0,147,68.65,0.0385584218290311,0.3917510030583309
Glimpse1,50,0,150,68.65,0.0372522462491055,0.3874091241977873
Glimpse1,51,0,153,68.65,0.0354663607695836,0.3885554976785698
Glimpse1,52,0,156,68.65,0.037006343200907,0.3942383261633605
Glimpse1,53,0,159,68.65,0.0370348665369496,0.4050158778018105
Glimpse1,54,0,162,68.65,0.0382004080789828,0.4016164514071434
Glimpse1,55,0,165,68.65,0.0389811661031118,0.399353000084687
Glimpse1,56,0,168,68.65,0.036513205252754,0.4296036567764028
Glimpse1,57,0,171,68.65,0.0383124070659389,0.4507831287339405
Glimpse1,58,0,174,68.65,0.0381056807055639,0.4585352621603
Glimpse1,59,0,177,68.65,0.04039757152907,0.4601236052905633
Glimpse1,60,0,180,68.65,0.0408874909359328,0.4622521783177582
Glimpse1,61,0,183,68.65,0.039245580444509,0.4652491719728954
Glimpse1,62,0,186,68.65,0.039553618342078,0.4538851361662367
Glimpse1,63,0,189,68.65,0.0386959437333518,0.4406073699259848
Glimpse1,64,0,192,68.65,0.0391557224259097,0.4240818011884286
Glimpse1,65,0,195,68.65,0.0397736543562297,0.4136937166466039
Glimpse1,66,0,198,68.65,0.0417093436973971,0.411949059180522
Glimpse1,67,0,201,68.65,0.0407777996993996,0.4026497359186361
Glimpse1,68,0,204,68.65,0.0392065838410992,0.4088649675823316
Glimpse1,69,0,207,68.65,0.0396554275415524,0.4070182314968645
Glimpse1,70,0,210,68.65,0.0392088706987252,0.4114632471624651
Glimpse1,71,0,213,68.65,0.0390463334694319,0.4038589649028208
Glimpse1,72,0,216,68.65,0.0377110727241157,0.4089506560222937
Glimpse1,73,0,219,68.65,0.0390420270560903,0.4092900514866867
Glimpse1,74,0,222,68.65,0.0392671379875572,0.4125936178921636
Glimpse1,75,0,225,68.65,0.0381928127247835,0.4139673110912149
Glimpse1,76,0,228,68.65,0.0385339019452069,0.4140033514635809
Glimpse1,77,0,231,68.65,0.0377661844416979,0.4273644403646531
Glimpse1,78,0,234,68.65,0.0376728121111311,0.4161827417877247
Glimpse1,79,0,237,68.65,0.0358300232149476,0.4155233363682993
Glimpse1,80,0,240,68.65,0.0356808357602714,0.4006472630746016
Glimpse1,81,0,243,68.65,0.03678629780648,0.3979291656916923
Glimpse1,82,0,246,68.65,0.0361341657087014,0.4019505588880001
Glimpse1,83,0,249,68.65,0.0380920170939403,0.4048584552179525
Glimpse1,84,0,252,68.65,0.0366167428268783,0.40343201608924
Glimpse1,85,0,255,68.65,0.0374904254811383,0.3958963877786806
Glimpse1,86,0,258,68.65,0.0375700794274174,0.3998585232623844
Glimpse1,87,0,261,68.65,0.0354149492387305,0.4061718637527888
Glimpse1,88,0,264,68.65,0.0370506584546352,0.3955992454469245
Glimpse1,89,0,267,68.65,0.0374785269265035,0.3898752084412873
Glimpse1,90,0,270,68.65,0.0376620377656865,0.4020968958734387
Glimpse1,91,0,273,68.65,0.0373753817667008,0.3918227348170052
Glimpse1,92,0,276,68.65,0.0376682160498732,0.3953563986569703
Glimpse1,93,0,279,68.65,0.0376977272949479,0.3954437508193447
Glimpse1,94,0,282,68.65,0.0366272934836311,0.386307610579319
Glimpse1,95,0,285,68.65,0.0371228913004682,0.3917539057018105
Glimpse1,96,0,288,68.65,0.0386037410406116,0.4017935003164712
Glimpse1,97,0,291,68.65,0.0389134057660316,0.3846199810753726
Glimpse1,98,0,294,68.65,0.0371749438156191,0.4051458907840365
Glimpse1,99,0,297,68.65,0.0379095771471935,0.3928332049134778
Glimpse1,100,0,300,68.65,0.037700650329435,0.4046126479178216
Glimpse1,101,0,303,68.65,0.0376262241145781,0.3941313022233672
Glimpse1,102,0,306,68.65,0.0384065291846115,0.3956971414816649
Glimpse1,103,0,309,68.65,0.0376790602144935,0.3887990625330783
Glimpse1,104,0,312,68.65,0.0375035431179684,0.3955415609823711
Glimpse1,105,0,315,68.65,0.0367080765602719,0.4025697431297911
Glimpse1,106,0,318,68.65,0.037634443828709,0.400278027066868
Glimpse1,107,0,321,68.65,0.0374317398777423,0.3907274360177515
Glimpse1,108,0,324,68.65,0.0370294334591391,0.3875622722180414
Glimpse1,109,0,327,68.65,0.0370245029900312,0.3932864155083791
Glimpse1,110,0,330,68.65,0.0374074839984307,0.4046082663922874
Glimpse1,111,0,333,68.65,0.0376464639544637,0.3906695784554006
Glimpse1,112,0,336,68.65,0.0369051207145949,0.40682208755059
Glimpse1,113,0,339,68.65,0.036704403626758,0.4023795508953363
Glimpse1,114,0,342,68.65,0.0367807792219397,0.4104059849548285
Glimpse1,115,0,345,68.65,0.0379669203413788,0.4139575999067441
Glimpse1,116,0,348,68.65,0.0379521314673799,0.4341931157050024
Glimpse1,117,0,351,68.65,0.0388427037685149,0.4587650798423283
Glimpse1,118,0,354,68.65,0.0381502781159226,0.4655645379529576
Glimpse1,119,0,357,68.65,0.0402421935537156,0.4686777329752657
Glimpse1,0,1,0,65.65,0.0496944764078916,0.4417911772283127
Glimpse1,1,1,3,65.65,0.0485868998684482,0.4252835650312571
Glimpse1,2,1,6,65.65,0.0486535971522006,0.4177107154812947
Glimpse1,3,1,9,65.65,0.0472331370416396,0.4008036264819002
Glimpse1,4,1,12,65.65,0.0482831185231883,0.3856681504273078
Glimpse1,5,1,15,65.65,0.0497466419909557,0.3851406738041687
Glimpse1,6,1,18,65.65,0.0500895607644654,0.3768456270407068
Glimpse1,7,1,21,65.65,0.0503058812800124,0.3679436349981265
Glimpse1,8,1,24,65.65,0.049311431049305,0.364645315140019
Glimpse1,9,1,27,65.65,0.0479776765746314,0.3736951633525036
Glimpse1,10,1,30,65.65,0.0482796356525542,0.3569233452025836
Glimpse1,11,1,33,65.65,0.0487956614521138,0.359283148036619
Glimpse1,12,1,36,65.65,0.0463813645229566,0.3631016171665325
Glimpse1,13,1,39,65.65,0.0473202802109017,0.3757403424571485
Glimpse1,14,1,42,65.65,0.0468401026072844,0.3789014557307806
Glimpse1,15,1,45,65.65,0.0476353078030449,0.374024219051884
Glimpse1,16,1,48,65.65,0.045361379567268,0.3675237220547255
Glimpse1,17,1,51,65.65,0.0459943174488096,0.3728667324306901
Glimpse1,18,1,54,65.65,0.0459911927134817,0.3746502522885163
Glimpse1,19,1,57,65.65,0.0459768057364983,0.3581057196189392
Glimpse1,20,1,60,65.65,0.0465087111988443,0.3505170482677852
Glimpse1,21,1,63,65.65,0.045668604145372,0.3508154699860424
Glimpse1,22,1,66,65.65,0.0466071725185635,0.3566327590917451
Glimpse1,23,1,69,65.65,0.0451873490789975,0.3492157380135135
Glimpse1,24,1,72,65.65,0.047493624229169,0.3619684871302964
Glimpse1,25,1,75,65.65,0.0481376530504727,0.3399534684747681
Glimpse1,26,1,78,65.65,0.0489588305811713,0.3456968040817809
Glimpse1,27,1,81,65.65,0.04977070700867,0.3590377114484889
Glimpse1,28,1,84,65.65,0.0500491690704139,0.3479282118152809
Glimpse1,29,1,87,65.65,0.0502258816100565,0.3403363365012252
Glimpse1,30,1,90,65.65,0.050524284494195,0.3401440707298349
Glimpse1,31,1,93,65.65,0.0500176644317398,0.3454182915625656
Glimpse1,32,1,96,65.65,0.0502544899906659,0.3552382180957273
Glimpse1,33,1,99,65.65,0.0513488400826706,0.356283685962528
Glimpse1,34,1,102,65.65,0.0498860442292665,0.3495317552473093
Glimpse1,35,1,105,65.65,0.0486978672529278,0.349697417727435
Glimpse1,36,1,108,65.65,0.0479006582020552,0.3606473708503402
Glimpse1,37,1,111,65.65,0.0471303214432477,0.3613012784643725
Glimpse1,38,1,114,65.65,0.0485608283020516,0.3587404739274503
Glimpse1,39,1,117,65.65,0.0481889620505554,0.3690181969824234
Glimpse1,40,1,120,65.65,0.0484130175394875,0.3592853881709469
Glimpse1,41,1,123,65.65,0.0478077122109706,0.3586440097690381
Glimpse1,42,1,126,65.65,0.0479338481928819,0.3491867742336769
Glimpse1,43,1,129,65.65,0.0467865195060726,0.3520085568249224
Glimpse1,44,1,132,65.65,0.0471840453255,0.3528674486108297
Glimpse1,45,1,135,65.65,0.0459978285208439,0.3624230709095896
Glimpse1,46,1,138,65.65,0.0466305529919869,0.3560568700435408
Glimpse1,47,1,141,65.65,0.0468636578191494,0.3605239596686975
Glimpse1,48,1,144,65.65,0.0477532689213838,0.3578291414230707
Glimpse1,49,1,147,65.65,0.046226527614716,0.3595304062234423
Glimpse1,50,1,150,65.65,0.047452521946208,0.3542706280532605
Glimpse1,51,1,153,65.65,0.0476218740124758,0.3569886834699773
Glimpse1,52,1,156,65.65,0.0452229930768191,0.3653804383406491
Glimpse1,53,1,159,65.65,0.046509345399444,0.366210969104579
Glimpse1,54,1,162,65.65,0.0459818432409589,0.3673551884629841
Glimpse1,55,1,165,65.65,0.0457439708026861,0.3763417681323839
Glimpse1,56,1,168,65.65,0.0465716806372579,0.3956186490283461
Glimpse1,57,1,171,65.65,0.0462859191371915,0.4043804757337599
Glimpse1,58,1,174,65.65,0.0457964885687814,0.4153027698610592
Glimpse1,59,1,177,65.65,0.0479995014808137,0.4336567738461821
Glimpse1,60,1,180,65.65,0.0487352241535869,0.4263207946831864
Glimpse1,61,1,183,65.65,0.0486880553302648,0.4178214711870739
Glimpse1,62,1,186,65.65,0.0481413642093046,0.393266804230079
Glimpse1,63,1,189,65.65,0.0474547799082705,0.3842958274226681
Glimpse1,64,1,192,65.65,0.0493381969756553,0.3990805582358068
Glimpse1,65,1,195,65.65,0.0506149680692267,0.3905383187304605
Glimpse1,66,1,198,65.65,0.0499328158686395,0.3784179342671387
Glimpse1,67,1,201,65.65,0.0507399220390289,0.3731195001769266
Glimpse1,68,1,204,65.65,0.0483653636484047,0.3747794211291302
Glimpse1,69,1,207,65.65,0.0490673851909749,0.3732170033445952
Glimpse1,70,1,210,65.65,0.0489341224827859,0.3679312312041845
Glimpse1,71,1,213,65.65,0.0491256065807325,0.3733562444275403
Glimpse1,72,1,216,65.65,0.0474335550349637,0.3668533514568161
Glimpse1,73,1,219,65.65,0.0470115752550686,0.3713724875841891
Glimpse1,74,1,222,65.65,0.0481770147483652,0.3915904753441423
Glimpse1,75,1,225,65.65,0.0469005917908887,0.3825534125300992
Glimpse1,76,1,228,65.65,0.0461083650705328,0.3798428174451631
Glimpse1,77,1,231,65.65,0.0449669284558201,0.3754102669548953
Glimpse1,78,1,234,65.65,0.0463389347773265,0.3749524445907468
Glimpse1,79,1,237,65.65,0.0465343679540144,0.3658183163408519
Glimpse1,80,1,240,65.65,0.0450697496665671,0.3671407518822391
Glimpse1,81,1,243,65.65,0.0460766097853459,0.3562956731057334
Glimpse1,82,1,246,65.65,0.0466416242880635,0.3579905880796391
Glimpse1,83,1,249,65.65,0.0467652105481023,0.3696591809770918
Glimpse1,84,1,252,65.65,0.0468085797836819,0.3600134133616393
Glimpse1,85,1,255,65.65,0.0444676436375485,0.3718540514363201
Glimpse1,86,1,258,65.65,0.046669993348412,0.3727778642913696
Glimpse1,87,1,261,65.65,0.0470475839660046,0.3581290252975236
Glimpse1,88,1,264,65.65,0.046442540355975,0.3484838300697784
Glimpse1,89,1,267,65.65,0.0483843790789082,0.3499417868512168
Glimpse1,90,1,270,65.65,0.0455296822127063,0.3517224870129257
Glimpse1,91,1,273,65.65,0.0480447969213871,0.3571684795325445
Glimpse1,92,1,276,65.65,0.0484070605171296,0.3753693015568533
Glimpse1,93,1,279,65.65,0.049178817793467,0.3697059332522839
